title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Argate Online,108164,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",6.41,13714.0,"['Rei', 'Touno, Tsumugu']",AlphaPolis Web Manga
Black Tiger,101828,Manga,,,Publishing,['Action'],,22413.0,"['Akimoto, Osamu']",Grand Jump
Boku no Seito wa Otona Gal,137005,Manga,,,Publishing,"['Comedy', 'Romance', 'Ecchi']",,34735.0,"['Ikoma, You']",Manga Cross
Choukadou Girls,115361,Manga,,,Publishing,"['Comedy', 'Slice of Life', 'Supernatural']",,31172.0,['�YSTER'],Monthly Action
Daidokoro no Dragon,113525,Manga,,,Publishing,"['Slice of Life', 'Supernatural']",6.97,8032.0,"['Miyoshi, Furumachi', 'Shimada, Riri']",Gene pixiv
Demon Tune,111216,Manga,16.0,4.0,Finished,"['Action', 'Fantasy']",6.82,9754.0,"['Kodama, Yuuki']",Jump SQ.
Dioti Manual: Kamisama-tachi no Renai Daikou,105150,Manga,24.0,3.0,Finished,"['Comedy', 'Romance']",6.59,12285.0,"['Yasu', 'Cool-kyou Shinja']",Comic REX
Dorei Yuugi,107298,Manga,65.0,11.0,Finished,['Suspense'],6.23,14601.0,"['Kimura, Takashi', 'Yamai, Nanami']",Shounen Jump+
Doukyuusei no Macho-kun,71353,Manga,13.0,2.0,Finished,"['Action', 'Comedy', 'Romance']",6.12,14901.0,"['Kobori, Makoto']",Magazine Special
Dragon Recipe,83759,Manhwa,15.0,2.0,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy']",6.25,14517.0,"['Eldo', 'Yeop']",Naver Webtoon
Enami-kun wa Ikiru no ga Tsurai,112633,Manga,26.0,4.0,Finished,"['Comedy', 'Romance', 'Slice of Life']",6.5,13066.0,"['Fujita, Ato']",Manga Time Kirara Forward
Fate/Grand Order: Epic of Remnant - Ashu Tokuiten III/Ashu Heikou Sekai - Shizan Ketsuga Butai Shimousa no Kuni - Eirei Kengou Nanaban Shoubu,117241,Manga,,,Publishing,"['Action', 'Fantasy', 'Supernatural']",7.69,1551.0,"['Wataru, Rei']",Magazine pocket
Fenrir-neesan to Boku,112264,Manga,12.0,3.0,Finished,['Supernatural'],6.36,14027.0,"['Azaki, Momoko']",Bessatsu Shounen Champion
Free Life: Isekai Nandemoya Funtouki,111144,Manga,31.0,5.0,Finished,"['Comedy', 'Fantasy', 'Slice of Life']",6.47,13305.0,"['Mori, Airi', 'Kigatsukeba Kedama']",Shounen Ace
Gal Kishi Angelica,114662,Manga,19.0,3.0,Finished,"['Adventure', 'Fantasy', 'Ecchi']",,31047.0,"['Toriaina', 'Nagy']",Web Comic Gamma Plus
Goshujinsama to Yuku Isekai Survival! The Comic,129229,Manga,,,Publishing,"['Adventure', 'Fantasy']",6.59,12192.0,"['SASAYUKi', 'Ryuto']",Comic Ride
Gravity Daze 2: Juuryoku-teki Memai Tsuisoutan,108182,Manga,12.0,2.0,Finished,"['Action', 'Fantasy', 'Sci-Fi']",,24618.0,['Kutsugaeru'],Comic Alive
Hataraku Kesshouban-chan,122148,Manga,,,Publishing,['Comedy'],6.83,9622.0,"['Yasu', 'Kakihara, Yuuko']",Shounen Sirius
Henkyou no Roukishi Bard Loen,105921,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.57,2175.0,"['Kikuishi, Morio', 'Shienbis']",Young Magazine the 3rd
Ingoku Danchi,137511,Manga,,,Publishing,"['Comedy', 'Supernatural', 'Ecchi']",6.07,14986.0,"['Jouyama, Yui', 'Sakusei, Kenkyuujyo']",Dra-Dra Sharp#
Isekai Death Game ni Tensou sarete Tsurai,111943,Manga,18.0,3.0,Finished,"['Comedy', 'Fantasy']",6.6,12111.0,"['Mizu, Asato']",Comic Flapper
Isekai Elf no Dorei-chan,112062,Manga,141.0,4.0,Finished,"['Comedy', 'Fantasy', 'Ecchi']",5.73,15360.0,"['Yaya, Hinata', 'Kankitsu, Yusura']",Suiyoubi wa Mattari Dash X Comic
Isekai no Toilet de Dai wo Suru.,111602,Manga,56.0,3.0,Finished,"['Comedy', 'Fantasy']",5.88,15237.0,"['Terada, Tsugeo']",Young Champion Retsu
Jaku-Chara Tomozaki-kun Comic,111587,Manga,30.0,6.0,Finished,"['Drama', 'Romance']",6.82,9806.0,"['Chida, Eight', 'Yaku, Yuuki']",Gangan Joker
"JK, Shachiku wo Kau",120374,Manga,37.0,3.0,Finished,"['Comedy', 'Romance']",6.49,13141.0,"['Taguchi, Kenji']",Sunday Webry
Kabe ni Mary.com,98035,Manga,14.0,2.0,Finished,"['Comedy', 'Supernatural']",6.29,14360.0,['Kobashiko'],Gangan Online
Kaijuu no Tokage,118866,Manga,29.0,3.0,Finished,"['Comedy', 'Slice of Life', 'Supernatural']",6.77,10270.0,"['Fukuchi, Kamio']",Bessatsu Shounen Champion
Karin-chan wa Misetagari,115342,Manga,,,Publishing,"['Comedy', 'Ecchi']",,31165.0,"['Moriki, Takeshi']",Comic Cune
Kono Sekai ga Game da to Ore dake ga Shitteiru,83571,Manga,,,Publishing,"['Action', 'Comedy', 'Fantasy']",6.63,11887.0,"['Ichizen', 'Usbar']",ComicWalker
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,97200,Light Novel,7.0,1.0,Finished,"['Comedy', 'Fantasy']",8.0,695.0,"['Mishima, Kurone', 'Akatsuki, Natsume']",The Sneaker Web
Kouya ni Kemono Doukokusu,12192,Manga,93.0,15.0,Finished,"['Action', 'Horror', 'Sci-Fi', 'Supernatural']",6.81,9854.0,"['Yumemakura, Baku', 'Itoh, Sei']",Magazine-Z
Kyou mo Kurosaki-san no Turn!,141877,Manga,43.0,3.0,Finished,['Comedy'],,28938.0,['Ayuka'],Dra-Dra Sharp#
Lord El-Melloi II-sei no Jikenbo,107551,Manga,,,Publishing,"['Fantasy', 'Mystery', 'Supernatural']",7.38,3399.0,"['Saiki, Keita', 'Sanda, Makoto']",Young Ace
Lycanthrope Bouken Hoken,102689,Manga,,,Publishing,"['Adventure', 'Comedy', 'Fantasy']",6.58,12355.0,"['Nishi, Yoshiyuki']",Young Jump
Majo no Complex,73159,One-shot,1.0,,Finished,"['Comedy', 'Fantasy']",6.91,8677.0,['uku'],Young Ace
Majo no Geboku to Maou no Tsuno,82281,Manga,94.0,16.0,Finished,"['Comedy', 'Fantasy']",7.38,3395.0,['Mochi'],Shounen Gangan
Majo wa Mioji kara,112039,Manga,49.0,7.0,Finished,"['Comedy', 'Fantasy', 'Romance']",6.47,13282.0,"['Harada, Shigemitsu', 'Matsumoto, Kyuujo']",Young Animal
Maya-san no Yofukashi,111062,Manga,39.0,3.0,Finished,"['Comedy', 'Slice of Life']",7.05,6965.0,"['Hotani, Shin']",Web Comic Zenyon
Minimum,21809,Manga,58.0,7.0,Finished,"['Sci-Fi', 'Ecchi']",6.48,13258.0,"['Miyazaki, Maya']",Young Magazine (Monthly)
Monster Musume no Oishasan,112993,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",6.87,9162.0,"['Yoshino, Origuchi', 'Kanemaki, Tomasu']",Comic Ryu Web
Mujintou de Elf to Kyoudou Seikatsu @comic,120122,Manga,,,Publishing,[],6.28,14384.0,"['Chiwa, Kotarou', 'Wanta']",Comic Corona
Naraku no Adu,94701,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",6.97,8019.0,"['Yamamoto, Shin']",Famitsu Comic Clear
Neko Ane.,49499,Manga,37.0,6.0,Finished,"['Comedy', 'Slice of Life']",7.2,5155.0,"['Nara, Ippei']",Bessatsu Shounen Magazine
Nihon e Youkoso Elf-san.,119084,Manga,,,Publishing,['Comedy'],7.37,3561.0,"['Makishima, Suzuki', 'Aono, Sumio']",Comic Fire
Nobunaga wo Koroshita Otoko: Honnouji no Hen 431-nenme no Shinjitsu,107260,Manga,,,Publishing,"['Action', 'Drama']",,24345.0,"['Toudou, Yutaka', 'Akechi, Kenzaburou']",Bessatsu Young Champion
Nonbiri VRMMO-ki,98293,Manga,,,Publishing,['Fantasy'],6.69,11244.0,"['Yamadori, Ofuu', 'Maguro Neko@Kaine']",AlphaPolis Web Manga
Osananajimi to wa Love Comedy ni Naranai,145320,Manga,,,Publishing,"['Comedy', 'Romance']",,31206.0,"['Misu, Shinya']",Magazine pocket
Plinivs,86649,Manga,,,Publishing,[],,39394.0,"['Tori, Miki', 'Yamazaki, Mari']",Shincho 45
Seishun Buta Yarou wa Logical Witch no Yume wo Minai,133988,Manga,,,Publishing,"['Comedy', 'Romance']",7.56,2202.0,"['Kamoshida, Hajime', 'Akina, Tsukako']",ComicWalker
Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,113980,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",6.84,9519.0,"['Akatsuki, Touwa', 'Rikizou']",ComicWalker
"Sekkaku Cheat wo Moratte Isekai ni Teni shita n dakara, Suki na You ni Ikitemitai the Comic",113152,Manga,,,Publishing,"['Fantasy', 'Ecchi']",6.12,14884.0,"['Butcha-U', 'Munmun']",Comic Ride
Shinozaki-kun no Maintenance Jijou,111358,Manga,,,Publishing,"['Comedy', 'Fantasy']",,30356.0,"['Burio, Michiru']",pixiv Sylph
Shirokuma Tensei: Mori no Shugoshin ni Natta zo Densetsu,109770,Manga,,,Publishing,"['Action', 'Comedy', 'Fantasy']",6.49,13197.0,"['Kusano, Houki', 'Mishima, Chihiro']",ComicWalker
Shougakusei ga Mama demo Ii desu ka?,108022,Manga,,,Publishing,['Comedy'],7.06,6896.0,"['Ditama, Bow']",Shounen Sirius
"Shounen, Chotto Sabotteko?",119363,Manga,39.0,4.0,Finished,['Comedy'],7.24,4754.0,"['Akagi, Asahito']",Comic Days
Slime Life,110137,Manga,312.0,11.0,Finished,"['Comedy', 'Fantasy', 'Slice of Life']",6.92,8604.0,['Megasawara'],Shounen Jump+
Stalkers,113825,Manga,24.0,3.0,Finished,"['Comedy', 'Romance']",6.39,13859.0,"['Hanatsuka, Shiori']","Comic Dengeki Daioh ""g"""
Taihai no Hanauri,111024,Manga,,1.0,Finished,"['Sci-Fi', 'Slice of Life']",6.73,10754.0,"['Usami, Miki']",twi4
Tenohira Kaitaku Mura de Isekai Kenkokuki: Fueteku Yome-tachi to Nonbiri Mujintou Life,117271,Manga,,,Publishing,['Fantasy'],6.77,10277.0,"['Hoshizaki, Kon', 'Yatsutaga, Nakuto']",ComicWalker
Kimi no Yokogao shika Mirenai,128512,Manga,14.0,2.0,Finished,"['Comedy', 'Romance']",7.17,5454.0,"['Touya, Tsugumi']",Comic Gene
"Sayonara, Hero.",50429,Manga,5.0,1.0,Finished,['Drama'],7.38,3422.0,"['Koizumi, Ren']",Sho-Comi
"Ashita, Naisho no Kiss Shiyou",114263,Manga,12.0,3.0,Finished,['Romance'],6.67,11415.0,"['Sugata, Uri']",Dessert
